review_id,steamid,language,sentiment,voted_up,created_kst,updated_kst,created_unix,updated_unix,votes_up,votes_funny,weighted_vote_score,steam_purchase,received_for_free,review,status,gone_kst,first_seen_kst,last_seen_kst,flip_count,flip_log
228235518,76561199222010542,english,positive,TRUE,2026-06-18 16:00:24,2026-06-18 16:00:24,1781766024,1781766024,1,0,0.4818,TRUE,FALSE,WE'RE SO BACK,active,,2026-06-19 17:45:39,2026-06-22 08:05:10,0,
228235538,76561198317840192,english,positive,TRUE,2026-06-18 16:00:54,2026-06-18 16:00:54,1781766054,1781766054,0,0,0.458,TRUE,FALSE,Jungle! Yeah!,active,,2026-06-19 17:45:39,2026-06-22 08:05:10,0,
228235540,76561199019161335,schinese,positive,TRUE,2026-06-18 16:01:00,2026-06-18 16:01:00,1781766060,1781766060,0,0,0.5,TRUE,FALSE,第一第一,active,,2026-06-19 17:45:39,2026-06-22 08:05:10,0,
228235566,76561199149861896,english,positive,TRUE,2026-06-18 16:01:45,2026-06-18 16:01:45,1781766105,1781766105,1,0,0.4521,TRUE,FALSE,Dave diver,active,,2026-06-19 17:45:39,2026-06-22 08:05:10,0,
228235595,76561199074240542,english,positive,TRUE,2026-06-18 16:02:28,2026-06-18 16:02:28,1781766148,1781766148,3,0,0.5492,TRUE,FALSE,This game is pretty awesome. Cant wait for Bancho the chef,active,,2026-06-19 17:45:39,2026-06-22 08:05:10,0,
228235624,76561198199287603,brazilian,positive,TRUE,2026-06-18 16:03:11,2026-06-18 16:03:11,1781766191,1781766191,2,0,0.5455,TRUE,FALSE,THE BEST GAME EVEEEEEEEEEEERRRRRRRR!!!!!!!,active,,2026-06-19 17:45:39,2026-06-22 08:05:10,0,
228235627,76561198423147706,schinese,positive,TRUE,2026-06-18 16:03:17,2026-06-18 16:03:17,1781766197,1781766197,0,0,0.5,TRUE,FALSE,还不更新,active,,2026-06-19 17:45:39,2026-06-22 08:05:10,0,
228235714,76561199375725473,schinese,positive,TRUE,2026-06-18 16:05:42,2026-06-18 16:05:42,1781766342,1781766342,2,0,0.5217,TRUE,FALSE,"咋开呀这玩意，进去还是普通界面
",active,,2026-06-19 17:45:39,2026-06-22 08:05:10,0,
228235723,76561198390667546,english,positive,TRUE,2026-06-18 16:05:54,2026-06-18 16:05:54,1781766354,1781766354,7,1,0.5812,TRUE,FALSE,"Oh im daving it, might even dive",active,,2026-06-19 17:45:39,2026-06-22 08:05:10,0,
228235727,76561198374872976,schinese,positive,TRUE,2026-06-18 16:05:56,2026-06-18 16:05:56,1781766356,1781766356,0,0,0.5,TRUE,FALSE,第一个,active,,2026-06-19 17:45:39,2026-06-22 08:05:10,0,
228235800,76561198385494460,schinese,positive,TRUE,2026-06-18 16:07:55,2026-06-18 16:07:55,1781766475,1781766475,1,0,0.5302,FALSE,FALSE,咋进丛林啊？,active,,2026-06-19 17:45:39,2026-06-22 08:05:10,0,
228236102,76561198003807390,koreana,positive,TRUE,2026-06-18 16:15:37,2026-06-18 16:15:37,1781766937,1781766937,2,0,0.5169,TRUE,FALSE,아직 안해봤지만 걍 추천함.ㄱㄱㄱ,active,,2026-06-19 17:45:39,2026-06-22 08:05:10,0,
228236121,76561198057015904,koreana,positive,TRUE,2026-06-18 16:16:10,2026-06-18 16:16:10,1781766970,1781766970,1,0,0.5238,TRUE,FALSE,음 스멜~,active,,2026-06-19 17:45:39,2026-06-22 08:05:10,0,
228236618,76561199011703414,vietnamese,negative,FALSE,2026-06-18 16:29:39,2026-06-18 16:29:39,1781767779,1781767779,0,0,0.5,TRUE,FALSE,lỗi ko vào đc game,active,,2026-06-19 17:45:39,2026-06-22 08:05:10,0,
228236668,76561199175142071,schinese,negative,FALSE,2026-06-18 16:31:08,2026-06-18 16:31:08,1781767868,1781767868,0,0,0.4762,TRUE,FALSE,直接卡死在95初始加载页面，啥方法都试了。一坨,active,,2026-06-19 17:45:39,2026-06-22 08:05:10,0,
228236674,76561199848753400,schinese,positive,TRUE,2026-06-18 16:31:24,2026-06-18 16:31:24,1781767884,1781767884,1,0,0.52,TRUE,FALSE,"潜水员大胃袋，我来了
这次是丛林限定版大胃袋（大拇哥
期待新作",active,,2026-06-19 17:45:39,2026-06-22 08:05:10,0,
228236698,76561198176244759,schinese,positive,TRUE,2026-06-18 16:32:02,2026-06-18 16:32:02,1781767922,1781767922,1,0,0.5238,TRUE,FALSE,为什么我还没下班 我现在马上立刻要玩！！！！,active,,2026-06-19 17:45:39,2026-06-22 08:05:10,0,
228236777,76561198977625321,schinese,negative,FALSE,2026-06-18 16:34:20,2026-06-19 08:31:33,1781768060,1781825493,0,0,0.5,TRUE,FALSE,"为什么班乔说的是文言文啊
下面的鱼真的肉的发昏，三把攻击性枪子弹打完，补充才能打死一条要用无人机运的攻击性鱼
刚刚打完了，剧透警告！！！
不是柯布拉为什么会断臂啊，结局不能给好一点吗？就算后面有义肢也tm接受不了啊，这剧情凭什么要断臂啊，村里人都站在岸上看着是吧，帮这么大的忙，最后恩人有危险除了好哥们都是作壁上观，这比鲛人村还恶心。
别人来吃饭要好感度，水里面都是什么数值啊，枪械如果不是升到分支的话3把枪子弹打完都不死。
设计的小巧斯除了恶心我们这些游玩者还能干什么，时间设计纯纯一坨，村民好感度只是让他来吃饭，还要送礼才能快速提升，卖调味品的大妈，经典没有要的调味品，玩完了还不如不玩，纯纯败坏前面积累起的好感度
最后如果我知道柯布拉会断臂，我宁愿不去做这个傻逼主线，村里人只有感叹，发布任务，恶心人，最后都不来就事后道歉什么的，不如让这个破村子毁灭，怪不得会对外人这么大恶意，指不定是外人知道这什么地方，穷山恶水出刁民。",active,,2026-06-19 17:45:39,2026-06-22 08:05:10,4,2026-06-20 18:05:08 negative->positive | 2026-06-20 18:35:07 positive->negative | 2026-06-22 02:05:10 negative->positive | 2026-06-22 02:35:09 positive->negative
228236891,76561198116031349,koreana,positive,TRUE,2026-06-18 16:36:36,2026-06-18 16:36:36,1781768196,1781768196,3,0,0.5597,FALSE,FALSE,새 확장팩 오프닝 시작부터 너무 즐겁습니다.,active,,2026-06-19 17:45:39,2026-06-22 08:05:10,0,
228236906,76561198445890242,english,positive,TRUE,2026-06-18 16:37:07,2026-06-18 16:37:07,1781768227,1781768227,18,0,0.5713,TRUE,FALSE,"我进dlc的方法：把游戏删了重新下，进游戏后直接过时间，我是过到下午dlc剧情就来了

My method for getting into the DLC: I deleted the game and re-downloaded it. After entering the game, I just fast-forwarded the time, and by the afternoon, the DLC storyline appeared.",active,,2026-06-19 17:45:39,2026-06-22 08:05:10,0,
