captured_kst,language,positive,negative,total,positive_ratio
2026-06-19 21:44:30,collected_all,147234,5008,152242,0.9671
2026-06-19 21:44:30,steam_total,147249,5008,152257,0.9671
2026-06-19 21:44:30,schinese,54609,2304,56913,0.9595
2026-06-19 21:44:30,english,51773,1833,53606,0.9658
2026-06-19 21:44:30,koreana,11343,330,11673,0.9717
2026-06-19 21:44:30,tchinese,6797,97,6894,0.9859
2026-06-19 21:44:30,brazilian,4680,24,4704,0.9949
2026-06-19 21:44:30,spanish,4050,38,4088,0.9907
2026-06-19 21:44:30,german,3637,84,3721,0.9774
2026-06-19 21:44:30,french,2012,59,2071,0.9715
2026-06-19 21:44:30,russian,1353,59,1412,0.9582
2026-06-19 21:44:30,turkish,1158,37,1195,0.969
2026-06-19 21:44:30,thai,1147,6,1153,0.9948
2026-06-19 21:44:30,japanese,981,89,1070,0.9168
2026-06-19 21:44:30,latam,901,6,907,0.9934
2026-06-19 21:44:30,italian,566,8,574,0.9861
2026-06-19 21:44:30,polish,546,11,557,0.9803
2026-06-19 21:44:30,czech,258,1,259,0.9961
2026-06-19 21:44:30,vietnamese,221,1,222,0.9955
2026-06-19 21:44:30,portuguese,216,0,216,1.0
2026-06-19 21:44:30,ukrainian,200,12,212,0.9434
2026-06-19 21:44:30,dutch,189,4,193,0.9793
2026-06-19 21:44:30,swedish,169,2,171,0.9883
2026-06-19 21:44:30,hungarian,111,0,111,1.0
2026-06-19 21:44:30,finnish,89,2,91,0.978
2026-06-19 21:44:30,danish,68,0,68,1.0
2026-06-19 21:44:30,indonesian,63,0,63,1.0
2026-06-19 21:44:30,norwegian,57,1,58,0.9828
2026-06-19 21:44:30,greek,19,0,19,1.0
2026-06-19 21:44:30,romanian,14,0,14,1.0
2026-06-19 21:44:30,bulgarian,7,0,7,1.0
